PS C:\Users\wadej\OneDrive\Documents\streaming-02-multiple-processes> & C:/Users/wadej/AppData/Local/Programs/Python/Python311/python.exe c:/Users/wadej/OneDrive/Documents/streaming-02-multiple-processes/process_streaming_0.py
2023-09-03 07:42:22,590 - INFO - ===============================================
2023-09-03 07:42:22,591 - INFO - Starting fake streaming process.
2023-09-03 07:42:22,591 - INFO - Starting to stream data from batchfile_0_farenheit.csv to ('localhost', 9999).
2023-09-03 07:42:22,591 - INFO - Opened for reading: batchfile_0_farenheit.csv.
2023-09-03 07:42:22,592 - INFO - Skipped header row: ['ï»¿Year', 'Month', 'Day', 'Time', 'TempF']
2023-09-03 07:49:37,839 - INFO - Sent: b'[2023, 1, 1, 7:35, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:40,841 - INFO - Sent: b'[2023, 1, 1, 7:15, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:43,842 - INFO - Sent: b'[2023, 1, 1, 6:55, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:46,843 - INFO - Sent: b'[2023, 1, 1, 6:35, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:49,845 - INFO - Sent: b'[2023, 1, 1, 6:15, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:52,847 - INFO - Sent: b'[2023, 1, 1, 5:55, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:55,848 - INFO - Sent: b'[2023, 1, 1, 5:35, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:58,849 - INFO - Sent: b'[2023, 1, 1, 5:15, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:01,852 - INFO - Sent: b'[2023, 1, 1, 4:55, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:04,853 - INFO - Sent: b'[2023, 1, 1, 4:35, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:07,854 - INFO - Sent: b'[2023, 1, 1, 4:15, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:10,855 - INFO - Sent: b'[2023, 1, 1, 3:55, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:13,857 - INFO - Sent: b'[2023, 1, 1, 3:35, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:16,859 - INFO - Sent: b'[2023, 1, 1, 3:15, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:19,860 - INFO - Sent: b'[2023, 1, 1, 2:55, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:22,862 - INFO - Sent: b'[2023, 1, 1, 2:35, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:25,864 - INFO - Sent: b'[2023, 1, 1, 2:15, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:28,865 - INFO - Sent: b'[2023, 1, 1, 1:55, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:31,867 - INFO - Sent: b'[2023, 1, 1, 1:35, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:34,868 - INFO - Sent: b'[2023, 1, 1, 1:15, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:37,870 - INFO - Sent: b'[2023, 1, 1, 0:55, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:40,871 - INFO - Sent: b'[2023, 1, 1, 0:35, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:43,873 - INFO - Sent: b'[2023, 1, 1, 0:15, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:50:46,876 - INFO - Streaming complete!
2023-09-03 07:50:46,876 - INFO - ===============================================
PS C:\Users\wadej\OneDrive\Documents\streaming-02-multiple-processes>
